Code,Description,GMDN,Price,Discount
MS-P-004914,PLATE DISTAL FEMORAL 11 HOLE LEFT-AUXIEN # 1. TI-748.111L,61688,2920.5753178955297,0.15
MS021480003,OMRON M6 UPER ARM B.P SET,45617,491.8391470588235,0.15
MS-D-001366,"DISTAL RADIUS PLATE, 3 HOLE RIGHT, AUXIEN # TI-560-07-03R",61688,2209.091585075306,0.15
MS-D-001367,"DISTAL RADIUS PLATE, 3 HOLE, LEFT, AUXIEN # TI-560-07-03L",61688,2209.091585075306,0.15
MS-N-001908,NAIL TIBIAL 11X300MM CHM #3.2654.300,38152,4273.000820216471,0.15
MS-T-001750,TONSIL-BLATOR PT PLASMA SURGICAL PROBE BONSS #AC402,99999,1298.1839887058825,0.15
MS-P-004548,PLATE TIBIAL RIGHT OPENNING F/ACL REPLACEMENT-TI IMPLANTCAST No. ALTDP1-ST,99999,5192.73595482353,0.15
MS-T-000899,THERAPY SYSTEM STARTER KIT F/VAC WOUND NEGATIVE PRESSURE MACHINE KCI #VIAKITO77DO1/GB,47404,3894.551966117647,0.15
MS-T-000941,TUBE TRACHEOSTOMY 4.0MM CUFFED PEDIATRIC PORTEX/MEDTRONIC #65P040/4.0PDC,42601,179.9283008346353,0.15
XR-I-000026,INFLATION DEVICE (30ATM) KDL # AI25,99999,485.4079262117647,0.15
MS-H-000334,HEAD FEMORAL ARTICUL/EZE 28MM X +1.5 12/14 TAPER. JOH.  JOH. # 1365-11-000,61325,2567.841795329506,0.15
MS-C-004187,CANCELLOUS SURECHIP 30CC HANS-KOREA #BC30,99999,6490.919943529412,0.15
25415,CONTRAST MEDIA F/CT OMNIPAQUE 300MGx50ML,99999,66.19440158411297,0.15
SMH1270,SUTURE MERSILK 3-0 ETHICON # W666H /(D&G #1093-61),13910,19.45,0.15
SMT1015,CANNULA IV VENFLON 16G B.D / DELTA,64574,1.11,0.15
18736,MASK OXYGEN N/REBREATHER ADULT SALTER LAB #8130/1102/64060,57813,18.50821678588235,0.15
19471,CATHETER FOLEY BAL.SILICONE 2WAY/18CH/30ML STER.#165718,99999,84.32089450255059,0.15
MS-L-000850,LNET PCAN15 410 CRUSHED CANCELLOUS CHIPS #LNET PCAN15 410,99999,4359.773522575058,0.15
20216,MASK OXYGEN ADULT NON-REBREATHING INTERSURGICAL #1102,35177,17.435611976135295,0.15
17791,STENT CORONARY DRUG ELUTED 2.5 X12MM  # ENSP25012X MEDTRONIC,56285,10455.801308894117,0.15
MS-S-011932,"SCREW CANNULATED 7.0X90MM,AUXIEN#TI-129.290",56642,1526.927884835294,0.15
19763,TUBE ENDOTRACH REINFORCED 3.0 CUFFED SHERIDAN,42601,161.9800733138824,0.15
16661,"CANNULA STRAIGHT SHARP L10CM, TIP10MM G20 # CC101020-P",56642,2260.1483578885945,0.15
18537,BAG COLOSTOMY W/GUM 38-63MM DRAINABLE UNIDRESS #62446/8900/22771/3630.,37716,51.66877186058823,0.15
38539,MASKLARYNGEALSIZE2DISPOSABLE#321200000/8002000,45036,153.6027758088353,0.15
MS-S-011556,"SCREW CANNULATED 4X55 MM,AUXIEN # TI-122.155",56642,1445.7867895058823,0.15
MS-S-009571,SCREW CAN. PART. THRD. CANNULATED 4X20MM IRINE# T56034020,56642,1877.645181176471,0.15
SMO12195,SCREW CANCELLOUS PARTIALLY THREADED 7.3X70MM CANNULATED S/STEEL IRINE #S56037370,56642,735.875970005647,0.15
SMH2805,SUTURE VICRYL PLUS ANTIM.ROUND BODI.NEEDLE 2 ETHICON #VCP372H/W9252 / COVIDIEN # CL906,45401,382.3280882597648,0.15
MS-S-012594,"SILICONE FOAM DRESSING, WITH ADHESIVE BORDER, 10X10 CM, 10/BOX (LUOFUCON) # HXS100100F",46854,101.39759879205315,0.15
MS-M-000739,MASK ORONASAL SMALL CLASSIC STAR PLUS NIV DRAGER #MP04711,35175,1738.1629677176472,0.15
18280,INFLATION SYRINGE WITH MAP 802/IN4802,99999,767.5992323999997,0.15
MS-S-000006,SYRINGE INSULIN 1ML 100U 29GX0.5 TERUMO/BD #SS*10M2913/320909/324812,99999,4.117642941176471,0.15
22866,"SURGICAL HAEMOSTAT 5x7.5CM (2x3"") ETHICON #W1913T",99999,542.975457024,0.15
SMO10520,NAIL CANNULATED 7.5X280MM HUMERAL INTERLOCKING. IRENE # 6814,38152,3884.04317477647,0.15
39805,"CHLORAPREP ORANGE TINT 26-ML ,APPLICATOR BARD # 260815",63615,175.66853021364707,0.15
19970,STOPCOCK 3 WAY CONNECTER 10CM EXTENTION #4631-8/394995,32172,5.706375470089413,0.15
