Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Code,Description,GMDN,Price,Discount
MS-P-004914,PLATE DISTAL FEMORAL 11 HOLE LEFT-AUXIEN # 1. TI-748.111L,61688,2482.4890202112,0
MS021480003,OMRON M6 UPER ARM B.P SET,45617,418.063275,0
MS-D-001366,"DISTAL RADIUS PLATE, 3 HOLE RIGHT, AUXIEN # TI-560-07-03R",61688,1877.7278473140098,0
MS-D-001367,"DISTAL RADIUS PLATE, 3 HOLE, LEFT, AUXIEN # TI-560-07-03L",61688,1877.7278473140098,0
MS-N-001908,NAIL TIBIAL 11X300MM CHM #3.2654.300,38152,3632.050697184,0
MS-T-001750,TONSIL-BLATOR PT PLASMA SURGICAL PROBE BONSS #AC402,99999,1103.4563904000001,0
MS-P-004548,PLATE TIBIAL RIGHT OPENNING F/ACL REPLACEMENT-TI IMPLANTCAST No. ALTDP1-ST,99999,4413.825561600001,0
MS-T-000899,THERAPY SYSTEM STARTER KIT F/VAC WOUND NEGATIVE PRESSURE MACHINE KCI #VIAKITO77DO1/GB,47404,3310.3691712,0
MS-T-000941,TUBE TRACHEOSTOMY 4.0MM CUFFED PEDIATRIC PORTEX/MEDTRONIC #65P040/4.0PDC,42601,152.93905570944,0
XR-I-000026,INFLATION DEVICE (30ATM) KDL # AI25,99999,412.59673727999996,0
MS-H-000334,HEAD FEMORAL ARTICUL/EZE 28MM X +1.5 12/14 TAPER. JOH.  JOH. # 1365-11-000,61325,2182.66552603008,0
MS-C-004187,CANCELLOUS SURECHIP 30CC HANS-KOREA #BC30,99999,5517.281952,0
25415,CONTRAST MEDIA F/CT OMNIPAQUE 300MGx50ML,99999,56.26524134649602,0
SMH1270,SUTURE MERSILK 3-0 ETHICON # W666H /(D&G #1093-61),13910,131.00998689899998,0
SMT1015,CANNULA IV VENFLON 16G B.D / DELTA,64574,17.669998233,0
18736,MASK OXYGEN N/REBREATHER ADULT SALTER LAB #8130/1102/64060,57813,15.731984267999998,0
19471,CATHETER FOLEY BAL.SILICONE 2WAY/18CH/30ML STER.#165718,99999,71.67276032716799,0
MS-L-000850,LNET PCAN15 410 CRUSHED CANCELLOUS CHIPS #LNET PCAN15 410,99999,3705.8074941887994,0
20216,MASK OXYGEN ADULT NON-REBREATHING INTERSURGICAL #1102,35177,14.820270179715,0
17791,STENT CORONARY DRUG ELUTED 2.5 X12MM  # ENSP25012X MEDTRONIC,56285,8887.43111256,0
MS-S-011932,"SCREW CANNULATED 7.0X90MM,AUXIEN#TI-129.290",56642,1297.88870211,0
19763,TUBE ENDOTRACH REINFORCED 3.0 CUFFED SHERIDAN,42601,137.68306231680003,0
16661,"CANNULA STRAIGHT SHARP L10CM, TIP10MM G20 # CC101020-P",56642,1921.1261042053054,0
18537,BAG COLOSTOMY W/GUM 38-63MM DRAINABLE UNIDRESS #62446/8900/22771/3630.,37716,43.9184560815,0
38539,MASKLARYNGEALSIZE2DISPOSABLE#321200000/8002000,45036,130.56235943751,0
MS-S-011556,"SCREW CANNULATED 4X55 MM,AUXIEN # TI-122.155",56642,1228.91877108,0
MS-S-009571,SCREW CAN. PART. THRD. CANNULATED 4X20MM IRINE# T56034020,56642,1595.9984040000002,0
SMO12195,SCREW CANCELLOUS PARTIALLY THREADED 7.3X70MM CANNULATED S/STEEL IRINE #S56037370,56642,625.4945745048,0
