`,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,,,`,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,ServiceCode,Service Description,LOS,Type,NPHIES Code (Hyphenated )2,price,,,GIG Proposal,
,,7677,PHENYLEPHRINE 1% 10MG/ML X 10,0,consumable,99999,79.97099999999999,0.03,,OK,0.15
,,15541,BALLOON PTCA 3.0X15 PANTERA LEO (NC SPRINTER) BIOTRONIK# 367017,0,consumable,47732,3229.3558599999997,0.03,,OK,0.15
,,16010,"CATHETER CENTRAL VENOUS 3 LUMEN 5.5FR, HYUSUNG#HS-C 300/KJ 5510 SAUDI MAIS",0,consumable,10729,1312.57726,0.03,,OK,0.15
,,16168,CLIP SMALL LIGATING TIT EVEREST RED #EVC010,0,consumable,65058,413.242914,0.03,,OK,0.15
,,16201,"CATHETER CENTRAL VENOUS 3 LUMEN 7FR X 15CM, 0.035-70 J GUIDE AXEL MEDICAL #63715",0,consumable,10729,1053.628966,0.03,,OK,0.15
,,16359,ELECTRO SURGICAL PENCIL  DISPOSABLE CHINA # .,0,consumable,11490,271.262852,0.03,,OK,0.15
,,16445,INFUSION SET WINGED NON-CORING 22GX0.75' BARD #2205222,0,consumable,17180,233.34696,0.03,,OK,0.15
,,16679,DRAPE SURGICAL COVER 150x120/175/190CM STERILE #JM-OP6076,0,consumable,47783,69.2589486,0.03,,OK,0.15
,,16873,ICD SINGLE CHAMBER PRO MRI ELLIPSE VR DEVICE SYS. ABBOTT # CD1377-36QC,0,consumable,35852,99903.38,0.03,,OK,0.15
,,16987,LIGASURE BLUNT TIP LAPAROSCOPIC 5MM-37CM COVIDIEN #LF1637,0,consumable,43387,5248.023,0.03,,OK,0.15
,,17021,MESH PHYSIO 15X20CM ETHICON# PHY1520R / COVIDIEN# SYM2015,0,consumable,61423,14345.1,0.03,,OK,0.15
,,17031,MASK CPAP NOVASTAR L DRAGER #MP01581,0,consumable,57814,1891.662,0.03,,OK,0.15
,,17060,MESH 3DMAX RIGHT LARGE 10.3 CM X 15.7 CM BARD # 0117321,0,consumable,61218,3885.131,0.03,,OK,0.15
,,17096,NAIL ELASTIC TITANIUM DIFFERENT SIZES & COLOUR,0,consumable,47900,3149.2125,0.03,,OK,0.15
,,17503,SPIROMETER AIR INCENTIVE INTERTECT #2000/8888-719033,0,consumable,31266,79,0.03,,OK,0.15
,,17539,MASK LARYNGEAL SZ 3 CHILD 30-50KG DISP. #100/220/300,0,consumable,99999,134.68800000000002,0.03,,OK,0.15
,,17556,CATHETER DOUBLE LUMEN CVC 7FR 20CM #ZKDND7F/20,0,consumable,99999,336.71999999999997,0.03,,OK,0.15
,,17592,CABLE PACING TEMPORARY MYOCARDIAL LEAD #TME66Z/45041-02,0,consumable,99999,1620.465,0.03,,OK,0.15
,,17605,GELFOAM SPONGE STERILE 12-7MM NDC #0009-0315-02,0,consumable,48170,336.71999999999997,0.03,,OK,0.15
